"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"Inditex","ES0148396007","EQ0023395400001000","ITX SM","Spain",,,,"Yes, evaluated over the next 5 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, supply chain only","Yes",,"Yes","Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation","No","Yes, goals only"
"Inditex","ES0148396007","EQ0023395400001000","ITX SM","Spain","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","A good quality of water for our industrial activities is important to ensure a good level of efficiency, as well as a long lifetime of the machines. Efficiency in processes means less raw materials consumption (water and energy) leading to a sustainable used of the natural resources. Regarding domestic purposes, a good water quality is also important to ensure all our employees have access to wholesome drinking water.",,,,"Country","Other: World Water Assessment Programme (WWAP)",,,,"Other: Head of Environmental Sustainability",,,,
"Inditex","ES0148396007","EQ0023395400001000","ITX SM","Spain","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","Our own operations are not located in regions with water stress or scarcity. Besides, water consumption in our own operations is quite low because water is mainly needed for domestic purpose, generating steam and for industrial refrigeration in a closed cycle. There are no productive processes that consume water. For these reasons, we don’t consider necessary the use of recycled, brackish and/or produced water. So that, the availability of this type of water is not very important for us.",,,,,"Internal company knowledge",,,,,,,,
"Inditex","ES0148396007","EQ0023395400001000","ITX SM","Spain","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Textile supply chain consumes large quantities of freshwater. Ensure availability and good quality of water is vital to perform wet textile processes efficiently. A good quality of water means less chemicals used, less amount of water used and less chemicals discharged in the wastewater. So that, amount of water is vital to perform wet textile processes and good quality is vital to reduce de environmental impact related to wet textile processes.",,,,,,,,,,,,,
"Inditex","ES0148396007","EQ0023395400001000","ITX SM","Spain","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","Wet textile processes require large amount of water. Moreover, textile supply chain could be located in areas with scarcity and water stress regions. For these reasons, we think that recycling water within the mills is important to ensure water availability and reduce water stress. Furthermore, the search other water sources is important to ensure water availability and to reduce scarcity.",,,,,,,,,,,,,
"INDUCONTROL S. A. DE C. V.",,,,"Mexico",,,,"Not evaluated","No","Other",,,"No","No","No",,"Yes","Yes, a company-wide water policy","No","Yes, targets and goals"
"INDUCONTROL S. A. DE C. V.",,,,"Mexico","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Not important at all","We do not use water in our process",,,,,,,,,"Senior Manager/Officer",,,,
"INDUCONTROL S. A. DE C. V.",,,,"Mexico","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all","We do not use water in our process",,,,,,,,,,,,,
"INDUCONTROL S. A. DE C. V.",,,,"Mexico","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not important at all","We do not use water in our process",,,,,,,,,,,,,
"INDUCONTROL S. A. DE C. V.",,,,"Mexico","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all","We do not use water in our process",,,,,,,,,,,,,
"Ingersoll-Rand Co. Ltd.","IE00B6330302","EQ0010078700001000","IR US","Bermuda",,,,"Yes, evaluated over the next 1 year","No","Water risk assessments undertaken independently of other risk assessments incorporating both direct operations and supply chain",,,"Yes","No","No",,"Yes","Yes, a company-wide water policy","Yes, not significant","Yes, targets only"
"Ingersoll-Rand Co. Ltd.","IE00B6330302","EQ0010078700001000","IR US","Bermuda","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","The primary need for fresh water is for potable use (drinking water) at all of our facilities.",,,,"Facility","WRI Aqueduct",,,,"Senior Manager/Officer",,,,
"Ingersoll-Rand Co. Ltd.","IE00B6330302","EQ0010078700001000","IR US","Bermuda","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Several of our facilities located in areas of water stress are currently recycling or capturing gray water for non-potable use.",,,,,,,,,,,,,
"Ingersoll-Rand Co. Ltd.","IE00B6330302","EQ0010078700001000","IR US","Bermuda","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Our products do not use large quantities of water. the limited water required is usually to replace what is lost in a closed loop and can be graywater. Freshwater is important to our supply chain inasmuch as it impacts their ability to operate and therefore supply product.",,,,,,,,,,,,,
"IPF-Vikram India Ltd",,,,"India","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Ground water being used to meet the requirement of the operations",,,,,,,,,,,,,
"Ingersoll-Rand Co. Ltd.","IE00B6330302","EQ0010078700001000","IR US","Bermuda","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral","Our products do not use large quantities of water. the limited water required is usually to replace what is lost in a closed loop and can be graywater.",,,,,,,,,,,,,
"Innolux Corporation","TW0003481008","EQ0000000001883864","3481 TT","Taiwan",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation","No","Yes, targets and goals"
"Innolux Corporation","TW0003481008","EQ0000000001883864","3481 TT","Taiwan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","The production of TFT-LCD needs a large amount of clean water throughout the year.",,,,"Region","Other: 1.Water related risk information is collected from Water Resources Management agency of different districts.  Relative agency would help survey and approve water usage when necessary. In case of water shortage, relevant authority would arrange agricultural water usage for civil and industrial use. Innolux follows the governmental water risk policy.2.Companies at the science park would build large water storage tank to conserve enough back up usage thus reduce risk.3.Fabs of Innolux have water recycle treatment system.  It could enhance the reuse rate of water and decrease the total water usage amount. 4.Water risk is included in company Business Continuity Plan (BCP).  The progress and results would be reviewed in the management review meeting and reported to top management.",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Innolux Corporation","TW0003481008","EQ0000000001883864","3481 TT","Taiwan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","The water recycle rate regulated by the Science Park is 85%.  The recycled water is for internal factory use.",,,,,,,,,,,,,
"Innolux Corporation","TW0003481008","EQ0000000001883864","3481 TT","Taiwan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral","Innolux employs 2nd material source to lower the risk.",,,,,,,,,,,,,
"Innolux Corporation","TW0003481008","EQ0000000001883864","3481 TT","Taiwan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral","Innolux employs 2nd material source to lower the risk.",,,,,,,,,,,,,
"Innophos Mexicana S. de R.L. de C.V.",,,,"Mexico",,,,,,,,,,,,,,,,
"Innophos Mexicana S. de R.L. de C.V.",,,,"Mexico","Direct use: sufficient amounts of good quality freshwater available for use across your own operations",,,,,,,,,,,,,,,
"Lacrem",,,,"Spain","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral",,,,,,,,,,,,,,
"Innophos Mexicana S. de R.L. de C.V.",,,,"Mexico","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations",,,,,,,,,,,,,,,
"Innophos Mexicana S. de R.L. de C.V.",,,,"Mexico","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain",,,,,,,,,,,,,,,
"Innophos Mexicana S. de R.L. de C.V.",,,,"Mexico","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain",,,,,,,,,,,,,,,
